This is just to give an idea:

Address	Length	Type	String
.rdata:0109A588	0000002A	C	Blaze::FetchUserFirstLastAuthTimeResponse
.rdata:0108B180	00000031	C	Blaze::GameManager::AddQueuedPlayerToGameRequest
.rdata:0108B74C	0000002C	C	Blaze::GameManager::AdvanceGameStateRequest
.rdata:0108E140	0000002B	C	Blaze::GameManager::BanPlayerMasterRequest
.rdata:0108E0DC	00000025	C	Blaze::GameManager::BanPlayerRequest
.rdata:0108B5A8	00000026	C	Blaze::GameManager::BannedListRequest
.rdata:0108E1A4	00000027	C	Blaze::GameManager::BannedListResponse
.rdata:0108CB20	0000002D	C	Blaze::GameManager::CancelMatchmakingRequest
.rdata:0108BA98	00000028	C	Blaze::GameManager::ChangeTeamIdRequest
.rdata:0108DE54	00000026	C	Blaze::GameManager::CreateGameRequest
.rdata:0108AF94	00000027	C	Blaze::GameManager::CreateGameResponse
.rdata:0108CF1C	00000025	C	Blaze::GameManager::CreateGameStatus
.rdata:0108C788	00000021	C	Blaze::GameManager::DNFRulePrefs
.rdata:0108C7E0	00000022	C	Blaze::GameManager::DNFRuleStatus
.rdata:0108B270	00000029	C	Blaze::GameManager::DatalessSetupContext
.rdata:0108AD80	0000002B	C	Blaze::GameManager::DestroyGameListRequest
.rdata:0108B054	00000027	C	Blaze::GameManager::DestroyGameRequest
.rdata:0108B0B4	00000028	C	Blaze::GameManager::DestroyGameResponse
.rdata:0108AFF4	00000025	C	Blaze::GameManager::EjectHostRequest
.rdata:0108C9D8	00000023	C	Blaze::GameManager::FindGameStatus
.rdata:0108C298	0000002C	C	Blaze::GameManager::GameAttributeCensusData
.rdata:0108D334	00000028	C	Blaze::GameManager::GameBrowserDataList
.rdata:0108DB88	00000028	C	Blaze::GameManager::GameBrowserGameData
.rdata:0108DBEC	00000029	C	Blaze::GameManager::GameBrowserMatchData
.rdata:0108DAA0	0000002A	C	Blaze::GameManager::GameBrowserPlayerData
.rdata:0108AC34	00000028	C	Blaze::GameManager::GameBrowserTeamInfo
.rdata:0108D57C	0000002A	C	Blaze::GameManager::GameManagerCensusData
.rdata:0108CCAC	00000029	C	Blaze::GameManager::GameNameRuleCriteria
.rdata:0108C038	00000033	C	Blaze::GameManager::GameSessionUpdatedNotification
.rdata:0108C5BC	00000026	C	Blaze::GameManager::GameSizeRulePrefs
.rdata:0108C61C	00000027	C	Blaze::GameManager::GameSizeRuleStatus
.rdata:0108EA88	00000026	C	Blaze::GameManager::GenericRuleConfig
.rdata:0108E638	00000025	C	Blaze::GameManager::GenericRulePrefs
.rdata:0108E698	00000026	C	Blaze::GameManager::GenericRuleStatus
.rdata:0108CBDC	0000002C	C	Blaze::GameManager::GeoLocationRuleCriteria
.rdata:0108CC44	0000002A	C	Blaze::GameManager::GeoLocationRuleStatus
.rdata:0108DA38	0000002B	C	Blaze::GameManager::GetFullGameDataRequest
.rdata:0108D2B0	0000002C	C	Blaze::GameManager::GetFullGameDataResponse
.rdata:0108DC58	0000002D	C	Blaze::GameManager::GetGameDataFromIdRequest
.rdata:0108EC1C	00000027	C	Blaze::GameManager::GetGameListRequest
.rdata:0108AD1C	00000028	C	Blaze::GameManager::GetGameListResponse
